E bin	Re	Re_er	Rw	Rw_er	Re_1	Re_1er	Rw_1	Rw_1er	Re_2	Re_2er	Rw_2	Rw_2er	
45	0.003849	0.0003807	0.004261	0.0003897	0.000977	0.0003004	0.001322	0.0003143	0.0002181	0.0002711	9.282e-05	0.0002648
46	0.003556	0.0003738	0.004263	0.0003907	0.0009011	0.0002989	0.001377	0.0003152	0.0001071	0.0002661	7.628e-05	0.0002643
47	0.003883	0.0003828	0.003859	0.0003816	0.0009686	0.0003007	0.001157	0.000308	0.0001865	0.000272	3.702e-05	0.000263
48	0.003523	0.0003724	0.003672	0.0003766	0.0008158	0.0002927	0.001196	0.0003089	0.0001533	0.0002698	7.108e-05	0.0002661
49	0.003084	0.000362	0.003865	0.0003822	0.001069	0.000302	0.001241	0.0003115	0.0001172	0.0002686	8.39e-05	0.0002651
50	0.003063	0.0003603	0.003468	0.0003712	0.0008561	0.0002936	0.001009	0.0003012	6.943e-05	0.0002643	4.88e-05	0.0002637
51	0.002638	0.0003511	0.003409	0.0003717	0.0007145	0.0002901	0.00103	0.0003043	8.379e-05	0.0002651	4.167e-05	0.0002633
52	0.003262	0.0003675	0.003075	0.0003611	0.000981	0.000301	0.0008068	0.0002941	0.0001038	0.0002679	2.247e-05	0.0002626
53	0.002587	0.0003514	0.003147	0.0003646	0.0006724	0.0002883	0.0009473	0.0003005	4.483e-05	0.0002638	4.49e-05	0.0002631
54	0.002564	0.0003519	0.003061	0.0003622	0.000667	0.0002904	0.0009416	0.0003015	0.0001087	0.0002681	8.906e-05	0.0002672
55	0.00245	0.0003445	0.002703	0.0003526	0.0007133	0.0002885	0.001005	0.000303	3.617e-05	0.0002631	1.883e-05	0.0002623
56	0.00251	0.0003482	0.002455	0.0003473	0.0008073	0.0002958	0.0008084	0.0002963	5.338e-05	0.0002643	4.1e-05	0.0002635
57	0.002073	0.0003329	0.002214	0.0003366	0.0005145	0.0002833	0.0006875	0.0002893	7.185e-05	0.0002644	4.285e-05	0.0002635
58	0.001982	0.0003346	0.002468	0.000346	0.0006433	0.0002854	0.0008433	0.0002973	3.871e-05	0.0002637	8.723e-06	0.0002618
59	0.001684	0.0003257	0.002427	0.0003446	0.0004582	0.0002818	0.0007117	0.000291	5.07e-05	0.0002647	2.167e-05	0.0002632
60	0.002124	0.0003358	0.002356	0.0003451	0.0007049	0.0002882	0.0007064	0.0002928	4.793e-05	0.0002636	3.232e-05	0.0002632
61	0.001973	0.000333	0.001975	0.000333	0.0007148	0.0002916	0.0006109	0.0002886	6.098e-05	0.0002646	1.916e-05	0.0002624
62	0.001865	0.0003289	0.002182	0.0003405	0.0006219	0.0002882	0.0008121	0.0002972	4.157e-05	0.0002636	7.282e-05	0.0002652
63	0.002084	0.0003363	0.002111	0.0003376	0.0005449	0.0002834	0.0007756	0.0002948	6.975e-05	0.0002658	2.35e-05	0.0002624
64	0.001782	0.0003278	0.002344	0.0003447	0.0005594	0.0002867	0.000617	0.0002856	0.0001049	0.0002659	0.0001098	0.0002661
65	0.001592	0.0003195	0.002088	0.0003352	0.0005007	0.0002813	0.0006606	0.0002893	2.657e-05	0.0002627	2.254e-05	0.0002626
66	0.001256	0.0003065	0.001615	0.0003213	0.0004114	0.0002789	0.0004719	0.0002809	0	0.0002618	0	0.0002616
67	0.001564	0.0003226	0.00181	0.0003282	0.0005223	0.0002853	0.0005168	0.0002836	0	0.0002618	0	0.0002616
68	0.001322	0.0003124	0.001747	0.0003251	0.0005494	0.0002856	0.0004834	0.0002796	0	0.0002618	0	0.0002616
69	0.001428	0.0003162	0.001689	0.0003231	0.0005182	0.0002844	0.0005356	0.0002842	0	0.0002618	0	0.0002616
70	0.001075	0.0003046	0.001536	0.0003186	0.0004833	0.0002842	0.0005031	0.0002816	0	0.0002618	0	0.0002616
71	0.001451	0.0003161	0.001466	0.0003186	0.0004656	0.0002796	0.000528	0.0002863	0	0.0002618	0	0.0002616
72	0.001328	0.0003144	0.001409	0.0003158	0.0004268	0.0002793	0.0004649	0.0002826	0	0.0002618	0	0.0002616
73	0.001299	0.0003137	0.001359	0.0003144	0.0005023	0.0002849	0.0004246	0.0002807	0	0.0002618	0	0.0002616
74	0.00114	0.0003049	0.001312	0.000314	0.0003868	0.0002775	0.0004793	0.0002839	0	0.0002618	0	0.0002616
75	0.001009	0.0003024	0.001115	0.0003063	0.0003611	0.000279	0.0004707	0.0002828	0	0.0002618	0	0.0002616
76	0.001191	0.0003102	0.0009426	0.0002994	0.0003114	0.0002764	0.0003614	0.0002783	0	0.0002618	0	0.0002616
77	0.001062	0.0003045	0.001067	0.0003025	0.0003602	0.0002763	0.0003324	0.0002747	0	0.0002618	0	0.0002616
78	0.0009624	0.0003	0.001073	0.0003035	0.0003116	0.000274	0.0004112	0.00028	0	0.0002618	0	0.0002616
79	0.0008763	0.0002961	0.000968	0.0003003	0.0003614	0.0002783	0.0003292	0.0002759	0	0.0002618	0	0.0002616
80	0.0009974	0.0003014	0.0009122	0.000294	0.0003629	0.0002762	0.0002812	0.0002718	0	0.0002618	0	0.0002616
