E bin	Re	Re_er	Rw	Rw_er	Re_1	Re_1er	Rw_1	Rw_1er	Re_2	Re_2er	Rw_2	Rw_2er	
46	0.001504	0.0004035	0.0008413	0.0004186	0.0004126	0.0003165	0.0002296	0.0003337	9.691e-05	0.00028	6.812e-05	0.0002771
47	0.0008357	0.0004099	0.0009477	0.0004097	0.0002016	0.0003186	0.0004032	0.0003272	5.871e-05	0.0002836	8.325e-05	0.0002758
48	0.001047	0.0004033	0.001264	0.0004034	0.0003931	0.0003131	0.0004394	0.0003284	6.523e-05	0.0002813	6.756e-05	0.0002764
49	0.001281	0.0003904	0.0008922	0.0004089	0.0001486	0.0003223	0.0004067	0.0003311	3.306e-05	0.0002793	2.716e-05	0.0002776
50	0.001134	0.0003937	0.001021	0.0003987	0.0002517	0.0003152	0.0004339	0.0003218	7.495e-05	0.0002771	4.077e-05	0.0002759
51	0.001445	0.0003782	0.001031	0.0003969	0.000482	0.000308	0.0004477	0.0003208	6.08e-05	0.0002783	5.526e-05	0.0002757
52	0.0003092	0.0003914	0.0008862	0.0003909	0.0001165	0.0003172	0.000581	0.0003142	1.425e-06	0.0002784	5.063e-05	0.0002747
53	0.0007236	0.0003765	0.000856	0.0003898	0.0003064	0.0003079	0.0003754	0.0003178	4.714e-05	0.0002759	3.089e-05	0.0002752
54	0.0007242	0.0003761	0.0007149	0.0003874	0.0003508	0.0003077	0.0004183	0.0003189	-2.59e-05	0.0002784	1.165e-05	0.0002779
55	0.000654	0.000372	0.0009775	0.0003797	0.0002347	0.0003073	0.0002703	0.00032	3.089e-05	0.0002751	3.066e-05	0.0002741
56	0.000619	0.0003741	0.00103	0.000372	0.0002052	0.0003131	0.0003687	0.0003119	-8.932e-06	0.0002762	1.329e-05	0.0002754
57	0.0009636	0.0003589	0.001085	0.0003684	0.0004701	0.0003011	0.0004691	0.0003083	-1.896e-06	0.0002765	3.408e-06	0.0002753
58	0.0009865	0.0003588	0.0007537	0.0003731	0.0003144	0.0003067	0.0002616	0.0003145	3.065e-05	0.0002757	3.479e-05	0.0002737
59	0.001199	0.00035	0.0007518	0.0003692	0.0005389	0.0002986	0.0004416	0.0003087	1.134e-05	0.0002764	4.68e-05	0.0002751
60	0.0005046	0.0003595	0.0008708	0.0003685	0.0001256	0.0003068	0.0004841	0.000309	5.302e-06	0.0002754	2.961e-05	0.0002752
61	0.0006443	0.000356	0.001017	0.0003587	0.0002543	0.0003092	0.0003691	0.0003047	-6.748e-06	0.0002765	6.159e-05	0.0002746
62	0.0007173	0.0003514	0.0007566	0.0003636	0.0003613	0.0003035	0.0002945	0.0003139	2.896e-05	0.0002756	6.621e-06	0.0002776
63	0.0002909	0.0003586	0.0008093	0.0003612	0.0002876	0.000301	0.0002202	0.0003115	2.654e-05	0.0002779	6.979e-05	0.0002749
64	0.0006657	0.0003502	0.0004525	0.0003665	0.0003324	0.0003009	0.0003401	0.0003066	3.355e-05	0.0002792	2.922e-05	0.0002794
65	0.000669	0.0003447	0.0006031	0.0003596	0.0002665	0.0002998	0.0003539	0.0003068	1.358e-05	0.0002744	2.555e-05	0.0002746
66	0.00091	0.000335	0.0007889	0.0003464	0.0003566	0.0002973	0.0004425	0.0003013	0	0.0002732	0	0.000273
67	0.0005715	0.000343	0.0004777	0.0003505	0.0001941	0.0002997	0.0003535	0.0002999	0	0.0002732	0	0.000273
68	0.0006724	0.0003341	0.0004825	0.0003493	0.0001394	0.0003006	0.0003836	0.0002987	0	0.0002732	0	0.000273
69	0.0004886	0.0003377	0.0006016	0.0003471	0.0001682	0.0002997	0.0003006	0.0002998	0	0.0002732	0	0.000273
70	0.0008139	0.0003265	0.0006078	0.0003425	0.0001743	0.0002985	0.0002369	0.0003	0	0.0002732	0	0.000273
71	0.0003422	0.0003389	0.0005575	0.0003377	0.0001868	0.0002977	0.0001908	0.0002995	0	0.0002732	0	0.000273
72	0.0004032	0.000333	0.0005859	0.0003374	0.0001507	0.0002965	0.0001803	0.000297	0	0.0002732	0	0.000273
73	0.0002646	0.0003322	0.0005307	0.0003344	1.405e-05	0.0002982	0.0002295	0.0002956	0	0.0002732	0	0.000273
74	0.0003618	0.0003254	0.0003935	0.0003326	0.0001274	0.0002937	0.0001173	0.000298	0	0.0002732	0	0.000273
75	0.0005771	0.0003225	0.0006283	0.0003264	0.0002288	0.0002934	0.0001835	0.0002975	0	0.0002732	0	0.000273
76	0.0003692	0.0003282	0.0006119	0.0003182	0.0002556	0.0002908	0.0001868	0.0002909	0	0.0002732	0	0.000273
77	0.0003077	0.0003244	0.0004312	0.0003272	0.0001241	0.0002924	0.0002251	0.0002925	0	0.0002732	0	0.000273
78	0.0003781	0.0003198	0.0003677	0.0003242	0.0001629	0.0002905	0.000127	0.0002942	0	0.0002732	0	0.000273
79	0.0004043	0.0003152	0.0004925	0.0003199	0.0001607	0.0002919	0.0001927	0.0002917	0	0.0002732	0	0.000273
80	0.0002586	0.0003199	0.0003944	0.0003186	9.151e-05	0.000292	0.000212	0.0002886	0	0.0002732	0	0.000273
