0	17.0407
1	7.11916
2	18.3805
3	15.9631
4	16.4297
5	19.6598
6	13.9083
7	16.1712
8	23.4074
9	15.4845
10	2.66437
11	15.3737
12	15.9494
13	29.783
14	33.2568
15	22.3249
16	16.0833
17	11.7809
18	19.936
19	18.0559
20	12.3614
21	20.7602
22	8.25619
23	14.0777
24	9.97822
25	25.303
26	13.0145
27	18.3016
28	8.92718
29	8.77752
30	15.5605
31	13.9391
32	17.3955
33	14.3432
34	26.9757
35	12.2959
36	11.9923
37	13.9559
38	18.758
39	11.6876
40	22.9147
41	10.4482
42	17.2806
43	11.0497
44	11.6678
45	8.81656
46	8.18719
47	18.5936
