587.5	31304.1	176.93	29174.7	170.806	1891.98	43.4969	21.1194	4.59558	149.256	12.217	0	0	297.327	16.4985	29791.4	172.602	1877.67	43.3321	34.4787	5.87185	162.227	12.7368	2.05588	1.43384	297.327	17.2432
612.5	25730.9	160.408	23932	154.7	1617.27	40.2153	23.2116	4.81784	130.326	11.416	2.79567	1.67203	238.851	14.5165	24505.4	156.542	1684.44	41.0419	27.5412	5.24797	128.38	11.3305	0.558719	0.747475	238.851	15.4548
637.5	20826	144.312	19380.8	139.215	1301.47	36.0759	22.2509	4.71709	105.251	10.2592	1.18211	1.08725	192.743	12.8539	19667.6	140.241	1381.04	37.1624	20.9629	4.57852	112.682	10.6152	1.05285	1.02608	192.743	13.8832
662.5	16386	128.008	15177.8	123.198	1098.54	33.1443	16.7928	4.0979	82.0027	9.05553	0.651305	0.807035	152.831	11.8322	15555.4	124.721	1118.67	33.4465	14.4008	3.79484	83.9411	9.16194	0.321456	0.566971	152.831	12.3625
687.5	12342.8	111.098	11377.8	106.667	847.582	29.1133	16.6704	4.08295	67.1173	8.19251	0.421941	0.64957	111.719	10.1809	11703.8	108.184	857.07	29.2758	17.2766	4.15651	84.132	9.17235	0.705073	0.839686	111.719	10.5697
712.5	8981.84	94.7726	8251.37	90.837	636.836	25.2356	13.3779	3.65758	54.0063	7.3489	0.489207	0.699434	73.4124	8.79651	8475.11	92.0604	674.394	25.9691	10.6369	3.26143	70.6553	8.40567	0.53853	0.733846	73.4124	8.5681
737.5	6121.68	78.2412	5616.62	74.9441	449.511	21.2017	11.3815	3.37365	45.292	6.72993	0.14756	0.384135	50.8314	7.12191	5710.82	75.57	481.065	21.9332	5.97224	2.44382	41.114	6.41202	0.00635432	0.079714	50.8314	7.12961
762.5	3899.35	62.4447	3528.95	59.4049	318.861	17.8567	6.11614	2.47308	31.4234	5.60566	0.0286579	0.169286	29.6128	5.43873	3685.77	60.7106	321.825	17.9395	6.17497	2.48495	40.9755	6.40121	0	0	29.6128	5.44177
787.5	2316.38	48.1288	2087.46	45.6888	197.549	14.0552	4.78198	2.18677	25.8203	5.08137	0.0656491	0.256221	19.4177	4.22306	2197.02	46.8724	214.243	14.6371	5.15271	2.26996	24.4499	4.94468	0	0	19.4177	4.40655
812.5	1271.7	35.6609	1138.79	33.746	115.315	10.7385	1.80172	1.34228	19.7677	4.44609	0.0295993	0.172044	10.7095	2.8254	1174.86	34.2762	129.42	11.3763	3.56948	1.88931	16.0382	4.00477	0.184636	0.429693	10.7095	3.27253
837.5	632.338	25.1463	549.297	23.4371	66.2485	8.13932	0.93695	0.967962	10.515	3.24268	0.129929	0.360457	5.34444	2.21268	570.534	23.8858	69.2235	8.32006	1.9671	1.40253	13.8728	3.72462	0	0	5.34444	2.3118
862.5	273.098	16.5257	235.243	15.3376	30.1924	5.49476	1.42596	1.19413	7.14287	2.67262	0	0	2.71273	1.44741	242.808	15.5823	31.9582	5.65316	1.88081	1.37143	4.9305	2.22047	0	0	2.71273	1.64704
887.5	106.657	10.3275	87.854	9.37305	11.7676	3.43039	0.471388	0.686577	3.28771	1.8132	0	0	0.350915	1.03769	92.0619	9.59489	13.1642	3.62824	1.50642	1.22736	5.07882	2.25362	0	0	0.350915	0.592381
912.5	36.9422	6.07801	28.7445	5.36139	5.88839	2.4266	0.908007	0.952894	2.29714	1.51563	0	0	0.189305	0.343263	29.8501	5.46352	5.48595	2.34221	0.62412	0.790013	1.10219	1.04985	0	0	0.189305	0.435092
937.5	10.1029	3.17851	7.4294	2.72569	1.59648	1.26352	0.170454	0.41286	0.993129	0.996558	0	0	0.107686	0.297404	8.51241	2.9176	1.32185	1.14972	0.143139	0.378337	0.698239	0.835607	0	0	0.107686	0.328156
962.5	3.58306	1.8929	2.40215	1.54989	0.520179	0.721235	0.21319	0.461725	0.215666	0.464398	0	0	0	0	1.96314	1.40112	0.398071	0.630928	0.186831	0.43224	0.32687	0.571726	0	0	0	0
987.5	0.513585	0.716648	0.296443	0.544466	0.0626877	0.250375	0.0615693	0.248132	0.00137713	0.0371096	0	0	0	0.0393302	0.423565	0.650819	0.0464441	0.215509	0.0401721	0.20043	0.0773702	0.278155	0	0	0	0
