E bin	Re	Re_er	Rw	Rw_er	Re_1	Re_1er	Rw_1	Rw_1er	Re_2	Re_2er	Rw_2	Rw_2er	
46	0.001687	0.0004046	0.0008481	0.0004193	0.0003938	0.0003116	0.0004198	0.0003255	-1.948e-05	0.0002738	5.98e-05	0.0002658
47	0.001724	0.0003957	0.001346	0.0004024	0.0004583	0.0003093	0.0004832	0.0003277	0.0001516	0.0002675	6.378e-05	0.0002674
48	0.0009012	0.0004105	0.001351	0.0004013	0.0002262	0.0003164	0.0003545	0.0003272	4.623e-05	0.0002735	4.173e-05	0.0002732
49	0.001183	0.0003923	0.0006513	0.0004084	0.0002805	0.0003115	0.0003887	0.0003255	5.842e-05	0.0002731	0.0001093	0.0002757
50	0.0008423	0.0003966	0.0013	0.0003939	9.431e-05	0.0003134	0.0003659	0.0003242	6.126e-05	0.0002677	2.625e-05	0.000275
51	0.001107	0.000384	0.001124	0.0003955	0.0003217	0.0003125	0.0004961	0.0003208	4.168e-05	0.0002667	8.124e-05	0.000269
52	0.001357	0.0003696	0.00102	0.0003889	0.0004708	0.0002943	0.0005665	0.0003194	2.988e-05	0.0002714	7.39e-05	0.0002686
53	0.000999	0.0003732	0.00134	0.000376	0.0003547	0.0003076	0.0004075	0.000312	-4.714e-05	0.0002709	5.701e-05	0.0002646
54	0.001056	0.0003662	0.001232	0.000374	0.0003397	0.0003025	0.0002526	0.000313	3.554e-05	0.0002647	-1.042e-07	0.000268
55	0.001093	0.0003617	0.0008924	0.0003818	0.0002214	0.0003054	0.000482	0.0003071	2.038e-05	0.0002655	1.064e-05	0.0002655
56	0.000965	0.000364	0.0006658	0.0003706	0.0002212	0.0003026	0.000175	0.0003142	3.497e-05	0.0002654	1.036e-06	0.0002683
57	0.0009649	0.0003568	0.0006968	0.0003743	0.0002794	0.0003044	0.0002005	0.000316	8.753e-06	0.0002688	8.497e-06	0.0002652
58	0.001046	0.0003447	0.00085	0.0003684	0.0004022	0.0002948	0.0003854	0.000301	7.35e-05	0.0002695	3.152e-05	0.0002646
59	0.001075	0.0003511	0.0009055	0.0003624	0.0004875	0.0002966	0.0003466	0.0003033	2.049e-05	0.0002662	1.64e-05	0.0002659
60	0.0009241	0.0003462	0.001113	0.0003568	0.0003338	0.0002962	0.0003761	0.0003065	3.349e-05	0.0002646	5.413e-05	0.000265
61	0.000821	0.0003469	0.0008193	0.0003599	0.0003708	0.0002965	0.0004136	0.0003067	3.14e-06	0.0002674	5.199e-05	0.0002645
62	0.0008944	0.0003476	0.0007669	0.0003606	0.0003712	0.0003014	0.0003762	0.0003042	8.251e-05	0.000266	4.584e-05	0.0002696
63	0.001032	0.0003428	0.0009996	0.0003557	0.0003162	0.0002976	0.0003159	0.000306	6.934e-05	0.0002699	1.241e-05	0.0002669
64	0.000896	0.0003452	0.0004418	0.0003587	0.0003289	0.0003023	0.0001165	0.0003047	9.297e-05	0.0002716	-2.352e-05	0.0002771
