E bin	Re	Re_er	Rw	Rw_er	Re_1	Re_1er	Rw_1	Rw_1er	Re_2	Re_2er	Rw_2	Rw_2er	
45	0.003842	0.0003867	0.005224	0.0004173	0.001067	0.0003097	0.001349	0.0003203	0.0001639	0.000274	0.0001143	0.0002714
46	0.004374	0.000399	0.004374	0.0003983	0.001181	0.0003137	0.001261	0.0003159	0.0001959	0.0002751	8.118e-05	0.0002699
47	0.003477	0.000379	0.004576	0.0004029	0.001036	0.0003086	0.00116	0.0003115	0.0001485	0.0002749	5.885e-05	0.0002689
48	0.003984	0.0003904	0.00378	0.0003848	0.000984	0.0003046	0.001055	0.00031	0.0001199	0.0002718	7.264e-05	0.0002692
49	0.003629	0.0003813	0.003886	0.0003867	0.001017	0.0003084	0.0009929	0.0003059	0.0001282	0.000273	6.3e-05	0.0002692
50	0.003424	0.0003769	0.003929	0.0003877	0.001024	0.0003074	0.000985	0.0003057	9.494e-05	0.0002721	6.78e-05	0.0002704
51	0.002849	0.000362	0.003241	0.00037	0.0008392	0.0003013	0.0009953	0.0003047	9.231e-05	0.0002715	5.818e-05	0.0002695
52	0.003168	0.000371	0.003149	0.0003684	0.000969	0.000307	0.0009195	0.000305	0.0001216	0.0002731	4.641e-05	0.0002685
53	0.003217	0.0003733	0.003346	0.0003728	0.0007671	0.0002982	0.0009101	0.0003028	8.187e-05	0.0002702	4.742e-05	0.0002687
54	0.002396	0.0003498	0.002934	0.0003653	0.0007275	0.0002969	0.0009142	0.0003051	8.99e-05	0.000272	3.841e-05	0.0002681
55	0.002569	0.0003547	0.002754	0.0003578	0.0008508	0.0003013	0.0007992	0.0002974	3.601e-05	0.0002682	8.707e-05	0.0002714
56	0.002552	0.000354	0.002704	0.0003568	0.0007128	0.0002956	0.0008301	0.0003	7.105e-05	0.0002704	4.128e-05	0.0002685
57	0.0023	0.0003471	0.002816	0.0003621	0.000635	0.000293	0.0008215	0.0003008	6.022e-05	0.000269	2.58e-05	0.0002679
58	0.002476	0.0003533	0.002281	0.0003471	0.0006393	0.0002919	0.0006025	0.0002933	5.34e-05	0.0002693	3.365e-05	0.0002681
59	0.00244	0.0003507	0.002632	0.0003567	0.0007921	0.0002978	0.0006573	0.0002923	4.565e-05	0.0002686	5.137e-05	0.0002695
60	0.002218	0.0003453	0.002456	0.0003513	0.0007586	0.0002993	0.0007058	0.0002972	7.593e-05	0.0002701	4.979e-05	0.0002688
61	0.002004	0.0003393	0.002575	0.0003556	0.0007139	0.0002986	0.0007152	0.0002959	3.214e-05	0.0002683	2.979e-05	0.000268
62	0.002216	0.000345	0.00246	0.0003516	0.000563	0.0002895	0.0007176	0.0002953	8.232e-05	0.0002712	7.649e-05	0.00027
63	0.002034	0.0003392	0.002325	0.0003477	0.0005544	0.0002888	0.0007278	0.0002975	8.677e-05	0.000271	9.763e-05	0.0002712
64	0.001982	0.0003388	0.002465	0.0003504	0.000646	0.0002948	0.0005488	0.0002898	0.0001429	0.0002734	0.0001597	0.0002737
65	0.001872	0.000335	0.002171	0.0003445	0.000497	0.0002874	0.0006205	0.0002919	3.56e-05	0.0002682	1.879e-05	0.0002673
66	0.002018	0.0003407	0.001813	0.0003327	0.0006513	0.0002957	0.000454	0.0002843	0	0.0002669	0	0.0002667
67	0.00163	0.0003268	0.001791	0.0003315	0.0004619	0.0002865	0.0006154	0.0002923	0	0.0002669	0	0.0002667
68	0.001552	0.0003255	0.001877	0.0003348	0.0005332	0.0002894	0.0005777	0.0002904	0	0.0002669	0	0.0002667
69	0.001698	0.0003298	0.001689	0.0003286	0.0005408	0.0002887	0.0004613	0.0002865	0	0.0002669	0	0.0002667
70	0.001441	0.0003215	0.001768	0.0003318	0.0005477	0.0002918	0.0004216	0.0002846	0	0.0002669	0	0.0002667
71	0.001449	0.0003223	0.001467	0.0003207	0.000541	0.0002884	0.0004473	0.0002852	0	0.0002669	0	0.0002667
72	0.001486	0.0003253	0.001493	0.0003229	0.0005083	0.0002898	0.0004702	0.0002877	0	0.0002669	0	0.0002667
73	0.001286	0.0003166	0.001488	0.0003232	0.0004114	0.0002847	0.0003821	0.0002823	0	0.0002669	0	0.0002667
74	0.001325	0.0003189	0.001447	0.0003218	0.0003793	0.0002838	0.0004344	0.000286	0	0.0002669	0	0.0002667
75	0.001313	0.0003168	0.001461	0.0003226	0.0004024	0.0002842	0.0005025	0.000289	0	0.0002669	0	0.0002667
76	0.00123	0.000315	0.001124	0.0003089	0.0003584	0.0002817	0.0003161	0.0002797	0	0.0002669	0	0.0002667
77	0.001107	0.0003092	0.00124	0.0003141	0.0003653	0.0002821	0.0003876	0.0002839	0	0.0002669	0	0.0002667
78	0.001349	0.0003182	0.001239	0.0003141	0.0004671	0.0002883	0.0003173	0.0002798	0	0.0002669	0	0.0002667
79	0.001031	0.0003083	0.001116	0.0003112	0.0002696	0.0002789	0.0002694	0.0002778	0	0.0002669	0	0.0002667
80	0.0009189	0.0003038	0.0008897	0.0003023	0.0002353	0.0002783	0.0003111	0.0002806	0	0.0002669	0	0.0002667
